RA,Station ID,WMO ID or NWS/CMAN ID,Station Long Name,Station Description,Latitude (dec deg),Longitude (dec deg),Platform Type,"Station Deployment (mm/yyyy, yyyy, < 5 yr, > 5 yr)","Currently Operational? (Y, N, O, U)",Platform Funder/Sponsor,"RA Funding Involvement (Yf, Yp, N)",Platform Operator/Owner,Operator Sector,Platform Maintainer,Data Manager,"Variable Names + water column depth of measurement in meters [CF_name (# m, # m) or CF_name (mult) or CF_name (# depths)].",Additional notes,file,Unnamed: 18
PacIOOS,CDIP 196,52202,"Ritidian Point, Guam",Datawell Waverider,13.6837,144.8121,wave_buoy,2012-10-20 00:00:00,O,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",Replacement buoy on-site.  Waiting on weather window to redeploy.,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,CDIP 197,52211,"Tanapag, Saipa, CNMI",Datawell Waverider,15.2685, 145.6623 ,wave_buoy,2012-10-24 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,CDIP 198,51207,"Kaneohe Bay, Oahu, Hawaii",Datawell Waverider,21.4775,-157.7526,wave_buoy,2012-10-16 00:00:00,Y,PacIOOS,Yp,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,CDIP 202,51208,"Hanalei, Kauai,  Hawaii",Datawell Waverider,22.2847,-159.5742,wave_buoy,2013-10-02 00:00:00,O,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",Replacement buoy on-site.  Waiting on new mooring line.,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,CDIP 225,51210,"Kaneohe WETS, Oahu, Hawaii",Datawell Waverider,21.4774,-157.7558,wave_buoy,2017-10-26 00:00:00,Y,PacIOOS,Yp,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,CDIP 233,51211,"Pearl Harbor Entrance, Hawaii",Datawell Waverider DM4,21.2974,-157.9589,wave_buoy,2017-06-06 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_significant_height, sea_water_speed, sea_water_temperature, sea_water_to_direction",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,CDIP 238,51212,"Kalaeloa, Barbers Point, HI",Datawell Waverider,21.3233,-158.1497,wave_buoy,2018-05-31 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_significant_height, sea_water_speed, sea_water_temperature, sea_water_to_direction",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,CDIP 239,51213,"Lanai SW, HI",Datawell Waverider,20.7502,-157.0034,wave_buoy,2018-06-20 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_significant_height, sea_water_speed, sea_water_temperature, sea_water_to_direction",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,NS02,HYCH1,Hawaii Yacht Club NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",21.28641,-157.8428,fixed,2008-07-28 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,NS03,HLTH1,Hilton Hawiian Village NSS,SBE-16V2+,21.28042,-157.8381,fixed,2009-01-15 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,NS04,WQMH1,Waikiki Aquarium NSS,SBE-16V2+,21.26588,-157.8228,fixed,2009-09-25 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,NS05,,Pago Pago NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",-14.2766,-170.6908,fixed,2010-06-08 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ","In water logging, doesn't report in real-time.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,NS06,,Pohnpei NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",6.873681,158.2245,fixed,2010-05-07 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ","In water logging, doesn't report in real-time.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,NS07,,Majuro NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",7.106,171.3728,fixed,2010-05-02 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ","In water logging, doesn't report in real-time.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,NS10,MNBH1,Maunalua Bay NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",21.28009,-157.711,fixed,2011-05-30 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,NS12,,"Kalama Beach Park, Maui NSS",YSI-6600V2,20.73121,-156.455,fixed,2014-08-01 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ","In water logging, doesn't report in real-time.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,NS17,,"Pago Bay, Guam NSS","SBE-16V2+, Wetlabs ECOFLNTUS",13.42059,144.78604,fixed,2019-02-02 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ","Used to be at NS15 site.  Site moved due to excessive sedementation. In water logging, doesn't report in real-time.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,PP05,,"Waialae Beach Park, Oahu PP","SBE-16V2+, Wetlabs ECOFLNTUS",21.2682,-157.7767,fixed,2018-09-14 00:00:00,Y,PacIOOS,Yf,PacIOOS,Nonprofit,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",Out of water.  End of deployment for WQSPP.,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,FG01 ,,Pohnpei PP,"SBE-16V2+, Wetlabs ECOFLNTUS",6.9866,158.22102,fixed,2018-12-09 00:00:00,O,PacIOOS,Yf,PacIOOS,Nonprofit,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,PP07,,"Ebiil, Palau PP","SBE-16V2+, Wetlabs ECOFLNTUS",7.52278,134.50139,fixed,2019-12-15 00:00:00,Y,PacIOOS,Yf,PacIOOS,Nonprofit,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ","In water logging, doesn't report in real-time.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,PP08,,"Maalaea Harbor, Maui PP","SBE-16V2+, Wetlabs ECOFLNTUS",20.79126,-156.51127,rotating locations in harbor,2020-08-01 00:00:00,Y,PacIOOS,Yf,PacIOOS,Nonprofit,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ","In water logging, doesn't report in real-time.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,CWB-NSS 1,,Maunalua Bay NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",21.2638,-157.7635,fixed,2019-08-08 00:00:00,Y,HI DOH CWB,Yp,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ","In water logging, doesn't report in real-time.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,CWB-NSS 2,,Maunalua Bay NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",21.27586,-157.7474,fixed,2019-08-08 00:00:00,Y,HI DOH CWB,Yp,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ","In water logging, doesn't report in real-time.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,CWB-NSS 3,,Maunalua Bay NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",21.27449,-157.7147,fixed,2019-08-08 00:00:00,Y,HI DOH CWB,Yp,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ","In water logging, doesn't report in real-time.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,WQB-04,51045,"Hilo Bay, Hawaii",YSI-EMM-68,19.7342,-155.0817,moored_buoy,2010-10-23 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_salinity, mole_concentration_of_dissolved_molecular_oxygen_in_sea_water, sea_water_turbidity, mass_concentration_of_chlorophyll_a_in_sea_water",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,WQB-05,51046,"Pelekane Bay, Hawaii",YSI-EMM-68; YSI SONDE 6600 V2-4,20.0241,-155.8285,moored_buoy,2018-03-09 00:00:00,Y,PacIOOS ,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_salinity, mole_concentration_of_dissolved_molecular_oxygen_in_sea_water, sea_water_turbidity, mass_concentration_of_chlorophyll_a_in_sea_water",,Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,WQB-KN,51043,Kilo Nalu Buoy,"SBE-37-SMP, YSI-6600, LICOR-820-NDIR",21.2887,-157.865,moored_buoy,2008-08-07 00:00:00,Y,OAP,N,University of Hawaii,Academic,University of Hawaii,University of Hawaii,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, surface_air_pressure, sea_water_ph_reported_on_total_scale, mole_fraction_of_carbon_dioxide_in_sea_water, mole_fraction_of_carbon_dioxide_in_air","Chris Sabine now oversees buoy; PMEL manages pCO2 data, etc.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,WQB-AW,51042,Ala Wai Buoy,"SBE-37-SMP, YSI-6600, LICOR-820-NDIR",21.2799,-157.848,moored_buoy,2008-08-07 00:00:00,Y,OAP,N,University of Hawaii,Academic,University of Hawaii,University of Hawaii,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, surface_air_pressure, sea_water_ph_reported_on_total_scale, mole_fraction_of_carbon_dioxide_in_sea_water, mole_fraction_of_carbon_dioxide_in_air","Chris Sabine now oversees buoy; PMEL manages pCO2 data, etc.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,WQB-AmSamoa,,"Fagatele Bay, Tutuila, Am Samoa","SBE-19plus-CTD, LICOR-820-NDIR, SAMI pH, SBE DO, SBE Fluorometry-NTU",-14.3645,-170.7629,moored_buoy,2019-05-20 00:00:00,Y,OAP,Yp,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, surface_air_pressure, sea_water_ph_reported_on_total_scale, mole_fraction_of_carbon_dioxide_in_sea_water, mole_fraction_of_carbon_dioxide_in_air"," PMEL manages pCO2 data, etc.",Asset Inventory_PacIOOS_2020.xlsx,
PacIOOS,WQB-CRIMP2,,CRIMP2 Buoy,"SBE-37-SMP, YSI-6600, LICOR-820-NDIR",21.46,-157.8,moored_buoy,2008-06-10 00:00:00,Y,OAP,N,University of Hawaii,Academic,University of Hawaii,University of Hawaii,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, surface_air_pressure, sea_water_ph_reported_on_total_scale, mole_fraction_of_carbon_dioxide_in_sea_water, mole_fraction_of_carbon_dioxide_in_air","Chris Sabine now oversees buoy; PMEL manages pCO2 data, etc.",Asset Inventory_PacIOOS_2020.xlsx,
CARICOOS,PR1,42085,Ponce Buoy,,17.869,-66.532,moored_buoy,2009-06-01 00:00:00,Y,,Yf,Neal Pettigrew,Academic,"Department of Physical Oceanography, School of Marine Sciences, University of Maine","Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 16) m, sea_water_to_direction (2.5 -16) m, eastward_sea_water_velocity (2.5 - 16) m, northward_sea_water_velocity (2.5 - 16) m, sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m)
",,CARICOOS Asset Inventory_2020.xlsx,
CARICOOS,PR2,41053,San Juan Buoy,,18.474,-66.099,moored_buoy,2010-07-01 00:00:00,Y,,Yf,Neal Pettigrew,Academic,"Department of Physical Oceanography, School of Marine Sciences, University of Maine","Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 29) m, sea_water_to_direction (2.5 -29) m, eastward_sea_water_velocity (2.5 - 29) m, northward_sea_water_velocity (2.5 - 29) m, sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m)
",,CARICOOS Asset Inventory_2020.xlsx,
CARICOOS,PR3,41056,Vieques Buoy,,18.261,-65.464,moored_buoy,2013-09-01 00:00:00,Y,,Yf,Neal Pettigrew,Academic,"Department of Physical Oceanography, School of Marine Sciences, University of Maine","Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 28 m), sea_water_to_direction  (2.5 - 28 m), eastward_sea_water_velocity  (2.5 - 28 m), northward_sea_water_velocity  (2.5 - 28 m), sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m)
",,CARICOOS Asset Inventory_2020.xlsx,
CARICOOS,VI1,41052,St. John Buoy,,18.249,-64.763,moored_buoy,2011-04-01 00:00:00,Y,,Yf,Neal Pettigrew,Academic,"Department of Physical Oceanography, School of Marine Sciences, University of Maine","Department of Physical Oceanography, School of Marine Sciences, University of Maine  / CARICOOS","sea_water_speed (2.5 - 40 m), sea_water_to_direction  (2.5 - 40 m), eastward_sea_water_velocity (2.5 - 40 m), northward_sea_water_velocity (2.5 - 40 m), sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m)
",,CARICOOS Asset Inventory_2020.xlsx,
CARICOOS,VI2,41051,North of St. Thomas,,18.4761,-65.1568,moored_buoy,2017-08-01 00:00:00,O,,Yp,Paul Jobsis,Academic,University of the Virgin Islands,"Department of Physical Oceanography, School of Marine Sciences, University of Maine  / CARICOOS","sea_water_speed (2.5 - 22 m), sea_water_to_direction  (2.5 - 22 m), eastward_sea_water_velocity (2.5 - 22 m), northward_sea_water_velocity (2.5 - 22 m), sea_surface_temperature, air_temperature (-3 m), relative_humidity (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m), dissolved_oxygen (1 m), mass_concentration_of_chlorophyll_in_sea_water (1 m), sea_water_turbidity (1 m)
",Damaged by Hurricane Irma. Waiting for Hurricane Supplemental funds to obtain a new buoy.,CARICOOS Asset Inventory_2020.xlsx,
CARICOOS,181p1,41115,Rincon Waverider Buoy,,18.376,-67.28,moored_buoy,2011-05-01 00:00:00,Y,,Yf,CARICOOS,Academic,CARICOOS,Coastal Data Information Program (CDIP),"sea_surface_wave_significant_height, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment, sea_surface_wave_from_direction, sea_surface_wave_zero_upcrossing_period, wave_frequency, sea_surface_wave_variance_spectral_density, sea_surface_wave_from_direction, sea_surface_temperature, platform_orientation, sea_floor_depth_below_sea_surface
",,CARICOOS Asset Inventory_2020.xlsx,
CARICOOS,XYAB,TJAB,Yabucoa Mesonet,,18.05245,-65.82809,fixed,2009-12-01 00:00:00,Y,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS Asset Inventory_2020.xlsx,
CARICOOS,XWGO,TIGO,Crown Mountain - USVI,,18.35537,-64.96693,fixed,2009-07-01 00:00:00,O,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",Damaged by Hurricane Maria. Decommissioned by Weatherflow. Searching for new location to be relocated.,CARICOOS Asset Inventory_2020.xlsx,
CARICOOS,XSAV,TIAV,Savana Island - USVI,,18.33737,-65.083,fixed,2009-12-01 00:00:00,N,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",Decommisioned by Weatherflow.,CARICOOS Asset Inventory_2020.xlsx,
CARICOOS,XRUP,TIMA,Ruperts Rock ,,18.32817,-64.92661,fixed,2015-04-01 00:00:00,Y,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS Asset Inventory_2020.xlsx,
